3 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 
3 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :30.0 :40.0 :40.0 :40.0 :40.0 :40.0 :40.0 :40.0 :40.0 :50.0 :50.0 :50.0 :50.0 :50.0 :50.0 :50.0 :50.0 :50.0 :50.0 :60.0 :60.0 :60.0 :60.0 
3 :60.0 :60.0 :60.0 :60.0 :60.0 :60.0 :60.0 :60.0 :60.0 :60.0 :60.0 :60.0 :60.0 :60.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 
3 :60.0 :60.0 :60.0 :60.0 :60.0 :60.0 :60.0 :60.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :70.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :100.0 :100.0 :100.0 :100.0 
3 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 
3 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 
3 :120.0 :120.0 :120.0 :120.0 :120.0 :120.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :110.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :80.0 :80.0 :80.0 
3 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :100.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :70.0 :70.0 :60.0 :60.0 :60.0 :60.0 :50.0 :50.0 
3 :100.0 :100.0 :100.0 :100.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :70.0 :70.0 :60.0 :60.0 :60.0 :60.0 :50.0 :50.0 :40.0 :40.0 :40.0 :40.0 :30.0 :30.0 :30.0 :30.0 :20.0 :20.0 
3 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :90.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :70.0 :70.0 :60.0 :60.0 :60.0 :60.0 :50.0 :50.0 :40.0 :40.0 :40.0 :40.0 :30.0 :30.0 :30.0 :30.0 :20.0 :20.0 :10.0 :10.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 
3 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :80.0 :70.0 :70.0 :60.0 :60.0 :60.0 :60.0 :50.0 :50.0 :40.0 :40.0 :40.0 :40.0 :30.0 :30.0 :30.0 :30.0 :20.0 :20.0 :10.0 :10.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 
3 :50.0 :40.0 :40.0 :40.0 :30.0 :30.0 :30.0 :30.0 :20.0 :20.0 :10.0 :10.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 :0.0 
